timestamp,video_pos_sec,person_id,camera_id,head_drop_angle,spine_angle,head_tilt_angle,wrist_activity,recline,perclos,ear,inactive_seconds,motion_score,shoulder_ear_ratio,z_max,z_baseline_ready,system_state,true_label
2026-03-11 07:37:28,0.0,1,second_floor_middle,72.3,5.1,11.2,0.1156,0.243,,,0.0,33.3,0.104,0.0,0,awake,
2026-03-11 07:37:41,2571.4,31,second_floor_middle,46.4,5.0,3.9,0.0424,0.23,,,0.0,12.07,0.147,0.0,0,awake,
2026-03-11 07:37:44,2581.3,264,second_floor_middle,73.3,10.7,3.8,0.0185,0.236,,,0.0,14.39,0.095,0.0,0,awake,
2026-03-11 07:37:49,0.0,209,second_floor_middle,67.8,5.1,61.7,0.1839,0.176,,,0.0,75.34,0.084,0.0,0,awake,
2026-03-11 07:37:52,2600.5,26,second_floor_middle,65.9,18.9,3.8,0.0968,0.235,,,0.0,42.28,0.085,0.0,0,awake,
2026-03-11 07:37:55,2608.6,1,second_floor_middle,70.9,29.5,6.9,0.1382,0.242,,,0.0,50.36,0.087,0.0,0,awake,
2026-03-11 07:37:59,0.0,269,second_floor_middle,71.5,14.3,10.0,0.1191,0.214,,,0.0,35.12,0.095,0.0,0,awake,
2026-03-11 07:38:01,0.0,2,second_floor_middle,67.1,2.6,14.8,0.0154,0.237,,,0.0,45.69,0.186,0.0,0,awake,
2026-03-11 07:38:13,0.0,17,second_floor_middle,73.6,9.5,70.5,0.0027,0.234,,,0.0,25.38,0.093,0.0,0,awake,
2026-03-11 07:38:17,2670.5,73,second_floor_middle,74.9,10.6,9.8,0.1209,0.251,,,0.0,57.43,0.181,0.0,0,awake,
2026-03-11 07:38:46,2755.5,2,second_floor_middle,83.1,5.3,22.1,0.2129,0.219,,,0.0,60.25,0.135,0.0,0,awake,
2026-03-11 07:39:23,2851.4,28,second_floor_middle,62.4,8.6,2.6,0.0553,0.197,,,0.0,16.28,0.114,0.0,0,awake,
2026-03-11 07:39:57,2928.2,110,second_floor_middle,63.9,1.4,42.6,0.0412,0.177,,,0.0,24.42,0.101,0.15,1,awake,
2026-03-11 07:40:16,2970.9,172,second_floor_middle,61.7,8.7,16.0,0.1321,0.151,,,0.0,36.9,0.104,0.0,0,awake,
2026-03-11 07:40:20,2980.6,269,second_floor_middle,67.6,4.5,6.3,,0.343,,,43.9,0.0,0.096,0.0,0,drowsy,
2026-03-11 07:40:24,2986.5,1,second_floor_middle,67.3,3.8,15.6,0.1511,0.225,,,0.0,49.89,-0.004,0.0,0,awake,
2026-03-11 07:40:27,2994.9,264,second_floor_middle,,,,,,,,0.0,0.0,,,0,unknown,
2026-03-11 07:40:37,0.0,304,second_floor_middle,71.4,13.4,3.2,0.0282,0.21,,,0.0,22.18,0.092,0.0,0,awake,
2026-03-11 07:40:41,3027.9,1,second_floor_middle,64.8,12.2,15.1,0.0323,0.243,,,0.0,33.63,0.108,0.33,1,awake,
2026-03-11 07:40:46,3039.1,4,second_floor_middle,28.7,4.2,6.0,0.1746,0.225,,,0.0,27.42,0.104,0.0,0,awake,
2026-03-11 07:40:46,3039.1,139,second_floor_middle,,,,,,,,0.0,0.0,,,0,unknown,
2026-03-11 07:40:56,3060.8,17,second_floor_middle,77.5,6.0,65.1,0.014,0.164,,,0.0,37.07,0.088,0.28,1,awake,
2026-03-11 07:40:59,3070.4,209,second_floor_middle,45.8,14.8,6.6,,0.207,,,326.4,0.0,0.047,0.0,0,drowsy,
2026-03-11 07:41:08,0.0,295,second_floor_middle,69.8,16.8,4.2,0.5483,0.26,,,0.0,40.75,0.16,0.0,0,awake,
2026-03-11 07:41:12,3098.0,318,second_floor_middle,78.2,4.2,14.0,0.0995,0.194,,,0.0,67.85,0.089,0.0,0,awake,
